Frame  Energy(kcal/mol)
frame_000  -39855.34658
frame_001  -39919.30161
frame_002  -39919.82381
frame_003  -39900.49762
frame_004  -39898.11519
frame_005  -39902.53528
frame_006  -39912.83590
