# r(Angstrom) g(r)
0.016722 0.000000
0.050165 0.000000
0.083608 0.000000
0.117052 0.000000
0.150495 0.000000
0.183938 0.000000
0.217381 0.000000
0.250825 0.000000
0.284268 0.000000
0.317711 0.000000
0.351155 0.000000
0.384598 0.000000
0.418041 0.000000
0.451485 0.000000
0.484928 0.000000
0.518371 0.000000
0.551814 0.000000
0.585258 0.000000
0.618701 0.000000
0.652144 0.000000
0.685588 0.000000
0.719031 0.000000
0.752474 0.000000
0.785918 0.000000
0.819361 0.000000
0.852804 0.000000
0.886248 0.000000
0.919691 0.000000
0.953134 0.000000
0.986577 0.000000
1.020021 0.000000
1.053464 0.000000
1.086907 0.000000
1.120351 0.000000
1.153794 0.000000
1.187237 0.000000
1.220681 0.000000
1.254124 0.000000
1.287567 0.000000
1.321010 0.000000
1.354454 0.000000
1.387897 0.000000
1.421340 0.055796
1.454784 0.328004
1.488227 1.457379
1.521670 3.893570
1.555114 6.745734
1.588557 10.158188
1.622000 11.560799
1.655443 10.847463
1.688887 8.790714
1.722330 6.430125
1.755773 3.936629
1.789217 2.230750
1.822660 1.286152
1.856103 0.721224
1.889547 0.294070
1.922990 0.150429
1.956433 0.068077
1.989876 0.030699
2.023320 0.019062
2.056763 0.006180
2.090206 0.006007
2.123650 0.000000
2.157093 0.000000
2.190536 0.000000
2.223980 0.000000
2.257423 0.000000
2.290866 0.001646
2.324309 0.000000
2.357753 0.000000
2.391196 0.000000
2.424639 0.000000
2.458083 0.000000
2.491526 0.000000
2.524969 0.000000
2.558413 0.004003
2.591856 0.003906
2.625299 0.003792
2.658743 0.002483
2.692186 0.004776
2.725629 0.015180
2.759072 0.011402
2.792516 0.015575
2.825959 0.026039
2.859402 0.030750
2.892846 0.042365
2.926289 0.053590
2.959732 0.081056
2.993176 0.081199
3.026619 0.113579
3.060062 0.142328
3.093505 0.167635
3.126949 0.205607
3.160392 0.247846
3.193835 0.334785
3.227279 0.363867
3.260722 0.447889
3.294165 0.480300
3.327609 0.542764
3.361052 0.658407
3.394495 0.724470
3.427938 0.841510
3.461382 0.903373
3.494825 0.992409
3.528268 0.999435
3.561712 1.120684
3.595155 1.226864
3.628598 1.290413
3.662042 1.342157
3.695485 1.438676
3.728928 1.543663
3.762371 1.621959
3.795815 1.706413
3.829258 1.788417
3.862701 1.864357
3.896145 1.985099
3.929588 2.061600
3.963031 2.119482
3.996475 2.180076
4.029918 2.189718
4.063361 2.178932
4.096804 2.169695
4.130248 2.253803
4.163691 2.178485
4.197134 2.104361
4.230578 1.992129
4.264021 1.858011
4.297464 1.725132
4.330908 1.629737
4.364351 1.460822
4.397794 1.381878
4.431238 1.241296
4.464681 1.137172
4.498124 1.058049
4.531567 0.974172
4.565011 0.975411
4.598454 0.883782
4.631897 0.857150
4.665341 0.795944
4.698784 0.767204
4.732227 0.753389
4.765671 0.751179
4.799114 0.731981
4.832557 0.684220
4.866000 0.738130
4.899444 0.684194
4.932887 0.676921
4.966330 0.641205
4.999774 0.642079
5.033217 0.651353
5.066660 0.614586
5.100104 0.616176
5.133547 0.602682
5.166990 0.584923
5.200433 0.570799
5.233877 0.587090
5.267320 0.576652
5.300763 0.571442
5.334207 0.566389
5.367650 0.578555
5.401093 0.575375
5.434537 0.546421
5.467980 0.597602
5.501423 0.616615
5.534866 0.599140
5.568310 0.677701
5.601753 0.647096
5.635196 0.724841
5.668640 0.781108
5.702083 0.802990
5.735526 0.843246
5.768970 0.931575
5.802413 0.961324
5.835856 0.992394
5.869300 1.060069
5.902743 1.095730
5.936186 1.133946
5.969629 1.222583
6.003073 1.236089
6.036516 1.276202
6.069959 1.271266
6.103403 1.307649
6.136846 1.302092
6.170289 1.353187
6.203733 1.333522
6.237176 1.367812
6.270619 1.357972
6.304062 1.352226
6.337506 1.332889
6.370949 1.288338
6.404392 1.300564
6.437836 1.266546
6.471279 1.227180
6.504722 1.231281
6.538166 1.188633
6.571609 1.178066
6.605052 1.117570
6.638495 1.122193
6.671939 1.041248
