# r(Angstrom) g(r)
0.016722 0.000000
0.050165 0.000000
0.083608 0.000000
0.117052 0.000000
0.150495 0.000000
0.183938 0.000000
0.217381 0.000000
0.250825 0.000000
0.284268 0.000000
0.317711 0.000000
0.351155 0.000000
0.384598 0.000000
0.418041 0.000000
0.451485 0.000000
0.484928 0.000000
0.518371 0.000000
0.551814 0.000000
0.585258 0.000000
0.618701 0.000000
0.652144 0.000000
0.685588 0.000000
0.719031 0.000000
0.752474 0.000000
0.785918 0.000000
0.819361 0.000000
0.852804 0.000000
0.886248 0.000000
0.919691 0.000000
0.953134 0.000000
0.986577 0.000000
1.020021 0.000000
1.053464 0.000000
1.086907 0.000000
1.120351 0.000000
1.153794 0.000000
1.187237 0.000000
1.220681 0.000000
1.254124 0.000000
1.287567 0.000000
1.321010 0.000000
1.354454 0.000000
1.387897 0.000000
1.421340 0.000000
1.454784 0.000000
1.488227 0.000000
1.521670 0.000000
1.555114 0.000000
1.588557 0.000000
1.622000 0.000000
1.655443 0.000000
1.688887 0.000000
1.722330 0.000000
1.755773 0.000000
1.789217 0.000000
1.822660 0.000000
1.856103 0.000000
1.889547 0.000000
1.922990 0.000000
1.956433 0.000000
1.989876 0.000000
2.023320 0.000000
2.056763 0.000000
2.090206 0.007989
2.123650 0.009707
2.157093 0.018708
2.190536 0.045509
2.223980 0.097166
2.257423 0.153849
2.290866 0.284550
2.324309 0.452167
2.357753 0.608388
2.391196 0.861307
2.424639 1.166929
2.458083 1.627653
2.491526 1.921858
2.524969 2.355195
2.558413 2.567657
2.591856 3.091861
2.625299 3.009017
2.658743 3.174611
2.692186 3.097811
2.725629 2.936537
2.759072 2.805524
2.792516 2.427859
2.825959 2.051754
2.859402 1.735090
2.892846 1.498582
2.926289 1.227420
2.959732 1.002985
2.993176 0.899374
3.026619 0.772165
3.060062 0.655133
3.093505 0.601221
3.126949 0.583718
3.160392 0.553488
3.193835 0.595951
3.227279 0.618271
3.260722 0.591709
3.294165 0.682877
3.327609 0.640589
3.361052 0.682505
3.394495 0.710215
3.427938 0.712015
3.461382 0.717654
3.494825 0.757672
3.528268 0.765064
3.561712 0.772736
3.595155 0.781654
3.628598 0.760640
3.662042 0.804725
3.695485 0.825986
3.728928 0.766237
3.762371 0.843786
3.795815 0.782463
3.829258 0.840313
3.862701 0.813261
3.896145 0.838694
3.929588 0.801899
3.963031 0.831819
3.996475 0.815218
4.029918 0.838483
4.063361 0.857183
4.096804 0.854678
4.130248 0.851354
4.163691 0.866876
4.197134 0.860158
4.230578 0.873678
4.264021 0.862214
4.297464 0.869385
4.330908 0.892541
4.364351 0.879246
4.397794 0.910558
4.431238 0.888661
4.464681 0.926752
4.498124 0.951368
4.531567 0.968734
4.565011 1.042249
4.598454 1.015554
4.631897 1.050711
4.665341 1.086767
4.698784 1.147319
4.732227 1.200841
4.765671 1.194781
4.799114 1.266214
4.832557 1.344245
4.866000 1.348354
4.899444 1.399674
4.932887 1.429268
4.966330 1.445545
4.999774 1.469042
5.033217 1.472058
5.066660 1.452955
5.100104 1.439834
5.133547 1.452254
5.166990 1.402621
5.200433 1.439867
5.233877 1.343811
5.267320 1.298266
5.300763 1.261109
5.334207 1.279792
5.367650 1.209957
5.401093 1.096205
5.434537 1.079053
5.467980 1.033350
5.501423 0.987328
5.534866 0.964923
5.568310 0.921743
5.601753 0.891165
5.635196 0.860734
5.668640 0.834840
5.702083 0.808653
5.735526 0.797605
5.768970 0.800265
5.802413 0.799726
5.835856 0.796265
5.869300 0.772466
5.902743 0.766962
5.936186 0.758463
5.969629 0.754696
6.003073 0.776172
6.036516 0.738306
6.069959 0.767450
6.103403 0.734125
6.136846 0.772559
6.170289 0.765354
6.203733 0.772018
6.237176 0.746983
6.270619 0.774143
6.304062 0.790947
6.337506 0.751630
6.370949 0.781803
6.404392 0.832287
6.437836 0.809601
6.471279 0.829620
6.504722 0.846264
6.538166 0.851728
6.571609 0.867660
6.605052 0.879585
6.638495 0.892300
6.671939 0.864603
