# r(Angstrom) g(r)
0.016969 0.000000
0.050906 0.000000
0.084843 0.000000
0.118781 0.000000
0.152718 0.000000
0.186655 0.000000
0.220593 0.000000
0.254530 0.000000
0.288467 0.000000
0.322405 0.000000
0.356342 0.000000
0.390279 0.000000
0.424216 0.000000
0.458154 0.000000
0.492091 0.000000
0.526028 0.000000
0.559966 0.000000
0.593903 0.000000
0.627840 0.000000
0.661778 0.000000
0.695715 0.000000
0.729652 0.000000
0.763590 0.000000
0.797527 0.000000
0.831464 0.000000
0.865402 0.000000
0.899339 0.000000
0.933276 0.000000
0.967214 0.000000
1.001151 0.000000
1.035088 0.000000
1.069025 0.000000
1.102963 0.000000
1.136900 0.000000
1.170837 0.000000
1.204775 0.000000
1.238712 0.000000
1.272649 0.000000
1.306587 0.000000
1.340524 0.000000
1.374461 0.000000
1.408399 0.000000
1.442336 0.000000
1.476273 0.000000
1.510211 0.000000
1.544148 0.000000
1.578085 0.000000
1.612023 0.000000
1.645960 0.000000
1.679897 0.000000
1.713835 0.000000
1.747772 0.000000
1.781709 0.000000
1.815646 0.000000
1.849584 0.000000
1.883521 0.000000
1.917458 0.000000
1.951396 0.000000
1.985333 0.000000
2.019270 0.000000
2.053208 0.000000
2.087145 0.000000
2.121082 0.000000
2.155020 0.000000
2.188957 0.000000
2.222894 0.000000
2.256832 0.000000
2.290769 0.000000
2.324706 0.000000
2.358644 0.000000
2.392581 0.000000
2.426518 0.000000
2.460456 0.000000
2.494393 0.000000
2.528330 0.000000
2.562267 0.000000
2.596205 0.000000
2.630142 0.000000
2.664079 0.004974
2.698017 0.029098
2.731954 0.047299
2.765891 0.078448
2.799829 0.162122
2.833766 0.272562
2.867703 0.446444
2.901641 0.863737
2.935578 1.171603
2.969515 1.905625
3.003453 2.715936
3.037390 3.191293
3.071327 3.884605
3.105265 4.173586
3.139202 4.334596
3.173139 4.046032
3.207076 3.463174
3.241014 2.755839
3.274951 2.057179
3.308888 1.357436
3.342826 0.900366
3.376763 0.523223
3.410700 0.260983
3.444638 0.142809
3.478575 0.102110
3.512512 0.057226
3.546450 0.014034
3.580387 0.005508
3.614324 0.005405
3.648262 0.015914
3.682199 0.010415
3.716136 0.007669
3.750074 0.007531
3.784011 0.019724
3.817948 0.029062
3.851886 0.045207
3.885823 0.060787
3.919760 0.089608
3.953697 0.142277
3.987635 0.210909
4.021572 0.292492
4.055509 0.358449
4.089447 0.496067
4.123384 0.554377
4.157321 0.649534
4.191259 0.765663
4.225196 0.903700
4.259133 1.117046
4.293071 1.298660
4.327008 1.416010
4.360945 1.523995
4.394883 1.665043
4.428820 1.751211
4.462757 1.774309
4.496695 1.847143
4.530632 1.836773
4.564569 1.873947
4.598506 1.814670
4.632444 1.932944
4.666381 1.904931
4.700318 1.947829
4.734256 1.800298
4.768193 1.906744
4.802130 1.976332
4.836068 1.939635
4.870005 2.012424
4.903942 1.890718
4.937880 1.772157
4.971817 1.888004
5.005754 1.804728
5.039692 1.761045
5.073629 1.716993
5.107566 1.678013
5.141504 1.460961
5.175441 1.432638
5.209378 1.377609
5.243316 1.276368
5.277253 1.199160
5.311190 1.047475
5.345127 1.020623
5.379065 0.973623
5.413002 0.867477
5.446939 0.937611
5.480877 0.958941
5.514814 1.021463
5.548751 1.043404
5.582689 1.106648
5.616626 1.166053
5.650563 1.075799
5.684501 1.081564
5.718438 1.053651
5.752375 1.029520
5.786313 0.960542
5.820250 0.868087
5.854187 0.738563
5.888125 0.647597
5.922062 0.549602
5.955999 0.448817
5.989936 0.336499
6.023874 0.280183
6.057811 0.201056
6.091748 0.160770
6.125686 0.120421
6.159623 0.082810
6.193560 0.073623
6.227498 0.064630
6.261435 0.072935
6.295372 0.079277
6.329310 0.103104
6.363247 0.120316
6.397184 0.165625
6.431122 0.207412
6.465059 0.250005
6.498996 0.280833
6.532934 0.348231
6.566871 0.409312
6.600808 0.433472
6.634746 0.550145
6.668683 0.568375
6.702620 0.593280
6.736557 0.693890
6.770495 0.753952
