Method,RDF_Type,Peak_r (Å),Peak_g(r)
PBE,O_O,2.664,4.281
PBE,Si_O,1.638,16.218
PBE,Si_Si,3.061,5.071
DeePMD,O_O,2.684,4.296
DeePMD,Si_O,1.630,15.671
DeePMD,Si_Si,3.014,5.160
ReaxFF,O_O,2.542,4.812
ReaxFF,Si_O,1.578,17.943
ReaxFF,Si_Si,3.040,7.290
BKS,O_O,2.596,5.371
BKS,Si_O,1.612,18.523
BKS,Si_Si,3.139,6.205
