Method,RDF_Type,Peak_r (Å),Peak_g(r)
PBE,O_O,2.651,3.624
PBE,Si_O,1.617,13.569
PBE,Si_Si,3.117,4.230
DeePMD,O_O,2.675,3.575
DeePMD,Si_O,1.612,13.036
DeePMD,Si_Si,3.107,4.252
ReaxFF,O_O,2.545,3.899
ReaxFF,Si_O,1.580,14.093
ReaxFF,Si_Si,3.044,6.343
BKS,O_O,2.596,4.659
BKS,Si_O,1.612,15.300
BKS,Si_Si,3.139,5.051
