Method,RDF_Type,Peak_r (Å),Peak_g(r)
PBE,O_O,2.647,5.718
PBE,Si_O,1.628,22.668
PBE,Si_Si,3.041,7.331
DeePMD,O_O,2.673,6.027
DeePMD,Si_O,1.623,21.672
DeePMD,Si_Si,3.033,8.040
ReaxFF,O_O,2.554,6.956
ReaxFF,Si_O,1.586,24.736
ReaxFF,Si_Si,3.055,10.564
BKS,O_O,2.630,6.903
BKS,Si_O,1.612,25.593
BKS,Si_Si,3.139,8.050
