# r(Angstrom) g(r)
0.016969 0.000000
0.050906 0.000000
0.084843 0.000000
0.118781 0.000000
0.152718 0.000000
0.186655 0.000000
0.220593 0.000000
0.254530 0.000000
0.288467 0.000000
0.322405 0.000000
0.356342 0.000000
0.390279 0.000000
0.424216 0.000000
0.458154 0.000000
0.492091 0.000000
0.526028 0.000000
0.559966 0.000000
0.593903 0.000000
0.627840 0.000000
0.661778 0.000000
0.695715 0.000000
0.729652 0.000000
0.763590 0.000000
0.797527 0.000000
0.831464 0.000000
0.865402 0.000000
0.899339 0.000000
0.933276 0.000000
0.967214 0.000000
1.001151 0.000000
1.035088 0.000000
1.069025 0.000000
1.102963 0.000000
1.136900 0.000000
1.170837 0.000000
1.204775 0.000000
1.238712 0.000000
1.272649 0.000000
1.306587 0.000000
1.340524 0.004866
1.374461 0.009257
1.408399 0.136651
1.442336 0.647276
1.476273 2.242746
1.510211 5.578144
1.544148 9.189777
1.578085 12.811932
1.612023 13.253954
1.645960 11.128343
1.679897 7.606552
1.713835 4.825552
1.747772 2.490299
1.781709 1.291817
1.815646 0.602095
1.849584 0.314383
1.883521 0.118305
1.917458 0.057077
1.951396 0.027555
1.985333 0.006655
2.019270 0.002144
2.053208 0.004148
2.087145 0.002007
2.121082 0.000000
2.155020 0.000000
2.188957 0.000000
2.222894 0.000000
2.256832 0.000000
2.290769 0.000000
2.324706 0.000000
2.358644 0.000000
2.392581 0.000000
2.426518 0.000000
2.460456 0.000000
2.494393 0.000000
2.528330 0.000000
2.562267 0.000000
2.596205 0.001297
2.630142 0.000000
2.664079 0.001232
2.698017 0.001201
2.731954 0.001172
2.765891 0.001143
2.799829 0.003346
2.833766 0.003267
2.867703 0.005316
2.901641 0.014539
2.935578 0.012176
2.969515 0.021815
3.003453 0.028110
3.037390 0.036015
3.071327 0.036150
3.105265 0.077077
3.139202 0.099376
3.173139 0.118103
3.207076 0.147922
3.241014 0.187293
3.274951 0.255989
3.308888 0.313057
3.342826 0.367766
3.376763 0.443229
3.410700 0.532167
3.444638 0.607214
3.478575 0.745725
3.512512 0.881630
3.546450 1.013612
3.580387 1.119310
3.614324 1.206153
3.648262 1.299440
3.682199 1.469710
3.716136 1.564556
3.750074 1.679993
3.784011 1.770904
3.817948 1.825339
3.851886 1.901163
3.885823 1.994339
3.919760 2.006051
3.953697 2.124466
3.987635 2.143997
4.021572 2.221499
4.055509 2.238701
4.089447 2.274897
4.123384 2.200062
4.157321 2.178961
4.191259 2.127391
4.225196 2.106088
4.259133 1.989752
4.293071 1.948455
4.327008 1.778375
4.360945 1.655631
4.394883 1.492993
4.428820 1.379705
4.462757 1.272751
4.496695 1.237180
4.530632 1.165042
4.564569 1.065528
4.598506 1.042829
4.632444 1.011715
4.666381 0.986211
4.700318 0.950649
4.734256 0.927315
4.768193 0.900702
4.802130 0.861095
4.836068 0.825498
4.870005 0.821038
4.903942 0.791534
4.937880 0.717576
4.971817 0.685528
5.005754 0.678707
5.039692 0.616236
5.073629 0.585261
5.107566 0.579185
5.141504 0.519303
5.175441 0.513494
5.209378 0.464617
5.243316 0.466255
5.277253 0.453998
5.311190 0.437676
5.345127 0.448356
5.379065 0.424283
5.413002 0.427335
5.446939 0.444424
5.480877 0.476777
5.514814 0.507727
5.548751 0.518008
5.582689 0.573450
5.616626 0.610612
5.650563 0.646020
5.684501 0.711931
5.718438 0.760460
5.752375 0.832901
5.786313 0.866773
5.820250 0.933097
5.854187 1.001656
5.888125 1.045628
5.922062 1.135151
5.955999 1.109681
5.989936 1.189748
6.023874 1.274693
6.057811 1.295238
6.091748 1.301582
6.125686 1.335901
6.159623 1.385980
6.193560 1.377899
6.227498 1.416807
6.261435 1.436728
6.295372 1.439151
6.329310 1.463047
6.363247 1.433230
6.397184 1.428106
6.431122 1.370157
6.465059 1.374428
6.498996 1.337133
6.532934 1.301355
6.566871 1.254889
6.600808 1.177600
6.634746 1.108377
6.668683 1.070581
6.702620 1.001183
6.736557 0.934282
6.770495 0.903003
