# r(Angstrom) g(r)
0.016692 0.000000
0.050075 0.000000
0.083459 0.000000
0.116842 0.000000
0.150226 0.000000
0.183609 0.000000
0.216993 0.000000
0.250376 0.000000
0.283760 0.000000
0.317143 0.000000
0.350527 0.000000
0.383910 0.000000
0.417294 0.000000
0.450677 0.000000
0.484061 0.000000
0.517444 0.000000
0.550828 0.000000
0.584211 0.000000
0.617595 0.000000
0.650978 0.000000
0.684362 0.000000
0.717745 0.000000
0.751129 0.000000
0.784512 0.000000
0.817896 0.000000
0.851279 0.000000
0.884663 0.000000
0.918046 0.000000
0.951430 0.000000
0.984813 0.000000
1.018197 0.000000
1.051580 0.000000
1.084964 0.000000
1.118347 0.000000
1.151731 0.000000
1.185114 0.000000
1.218498 0.000000
1.251881 0.000000
1.285265 0.000000
1.318648 0.000000
1.352032 0.000000
1.385415 0.000000
1.418799 0.000000
1.452182 0.000000
1.485566 0.000000
1.518949 0.000000
1.552333 0.000000
1.585716 0.000000
1.619100 0.000000
1.652483 0.000000
1.685867 0.000000
1.719250 0.000000
1.752634 0.000000
1.786017 0.000000
1.819401 0.000000
1.852784 0.000000
1.886168 0.000000
1.919551 0.000000
1.952935 0.000000
1.986318 0.000000
2.019702 0.000000
2.053085 0.000000
2.086469 0.000000
2.119852 0.000000
2.153235 0.000000
2.186619 0.000000
2.220002 0.000000
2.253386 0.001676
2.286769 0.004905
2.320153 0.023767
2.353536 0.112499
2.386920 0.516850
2.420303 1.345273
2.453687 2.716857
2.487070 4.525779
2.520454 6.259848
2.553837 6.956119
2.587221 6.335265
2.620604 4.769914
2.653988 3.349513
2.687371 2.150289
2.720755 1.268633
2.754138 0.739508
2.787522 0.421973
2.820905 0.192016
2.854289 0.101619
2.887672 0.037888
2.921056 0.021038
2.954439 0.015649
2.987823 0.015287
3.021206 0.015886
3.054590 0.017379
3.087973 0.034915
3.121357 0.049903
3.154740 0.062609
3.188124 0.110834
3.221507 0.147985
3.254891 0.197398
3.288274 0.213164
3.321658 0.278497
3.355041 0.343535
3.388425 0.408866
3.421808 0.514018
3.455192 0.565607
3.488575 0.671206
3.521959 0.757841
3.555342 0.859677
3.588726 0.934037
3.622109 1.016502
3.655493 1.097577
3.688876 1.190867
3.722260 1.237292
3.755643 1.376992
3.789027 1.387953
3.822410 1.514039
3.855794 1.559729
3.889177 1.511011
3.922561 1.568068
3.955944 1.517883
3.989328 1.496172
4.022711 1.386240
4.056095 1.331242
4.089478 1.330499
4.122862 1.173290
4.156245 1.025522
4.189629 0.942620
4.223012 0.831141
4.256396 0.711529
4.289779 0.603577
4.323163 0.522577
4.356546 0.483047
4.389930 0.443781
4.423313 0.451561
4.456697 0.464503
4.490080 0.510668
4.523464 0.611616
4.556847 0.691843
4.590231 0.833061
4.623614 0.987893
4.656998 1.097888
4.690381 1.243325
4.723765 1.345765
4.757148 1.522962
4.790532 1.611211
4.823915 1.756206
4.857299 1.929566
4.890682 2.046231
4.924066 2.102816
4.957449 2.071266
4.990833 2.069981
5.024216 1.936437
5.057600 1.798376
5.090983 1.538595
5.124367 1.294743
5.157750 1.101075
5.191134 0.960230
5.224517 0.822228
5.257901 0.708090
5.291284 0.683653
5.324668 0.671147
5.358051 0.678897
5.391435 0.742213
5.424818 0.787518
5.458202 0.818711
5.491585 0.858316
5.524969 0.901178
5.558352 0.922219
5.591736 0.913937
5.625119 0.924981
5.658503 0.910327
5.691886 0.876257
5.725270 0.834795
5.758653 0.821309
5.792037 0.784671
5.825420 0.763750
5.858804 0.765276
5.892187 0.742627
5.925571 0.731635
5.958954 0.742436
5.992338 0.750380
6.025721 0.771185
6.059105 0.810199
6.092488 0.797424
6.125872 0.811055
6.159255 0.827282
6.192639 0.871844
6.226022 0.870621
6.259406 0.899343
6.292789 0.892374
6.326172 0.846269
6.359556 0.849456
6.392939 0.808673
6.426323 0.771722
6.459706 0.759686
6.493090 0.694940
6.526473 0.709940
6.559857 0.649756
6.593240 0.646304
6.626624 0.659819
6.660007 0.652679
