File_Path,Type,Bond/Angle,Mean,Std,Count,Unit
lmp_bks/2000K/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.643,0.145,32975,Angstrom
lmp_bks/2000K/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.3,8.1,32400,degrees
lmp_bks/2000K/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,152.9,11.8,10800,degrees
lmp_bks/500K/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.607,0.036,21600,Angstrom
lmp_bks/500K/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.125,0.062,10799,Angstrom
lmp_bks/500K/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.621,0.078,32401,Angstrom
lmp_bks/500K/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.4,4.6,32400,degrees
lmp_bks/500K/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,154.0,7.4,10800,degrees
lmp_bks/1500K/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.616,0.066,21600,Angstrom
lmp_bks/1500K/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.131,0.108,10800,Angstrom
lmp_bks/1500K/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.633,0.127,32629,Angstrom
lmp_bks/1500K/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.3,7.2,32400,degrees
lmp_bks/1500K/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,153.6,11.1,10800,degrees
lmp_bks/1000K/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-O,1.61,0.052,21600,Angstrom
lmp_bks/1000K/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,Si-Si,3.128,0.09,10800,Angstrom
lmp_bks/1000K/lammps_analysis_results/bond_angle_statistics.txt,Bond Length,O-O,2.625,0.106,32526,Angstrom
lmp_bks/1000K/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,O-Si-O,109.4,6.1,32400,degrees
lmp_bks/1000K/lammps_analysis_results/bond_angle_statistics.txt,Bond Angle,Si-O-Si,154.5,10.0,10800,degrees
