Frame,Energy(kcal/mol),Source
frame_0,0.0,./reaction2/dft_PBE/energies.csv
frame_1,32.848669999977574,./reaction2/dft_PBE/energies.csv
frame_2,87.07199000008404,./reaction2/dft_PBE/energies.csv
frame_3,117.56136000016704,./reaction2/dft_PBE/energies.csv
frame_4,118.51323000015691,./reaction2/dft_PBE/energies.csv
frame_5,116.37132000015117,./reaction2/dft_PBE/energies.csv
frame_6,123.34794000000693,./reaction2/dft_PBE/energies.csv
frame_000,0.0,./reaction2/dp_20241109_clean_2/energies.csv
frame_001,30.9488499998115,./reaction2/dp_20241109_clean_2/energies.csv
frame_002,73.47120999987237,./reaction2/dp_20241109_clean_2/energies.csv
frame_003,97.45369999995455,./reaction2/dp_20241109_clean_2/energies.csv
frame_004,106.91119999997318,./reaction2/dp_20241109_clean_2/energies.csv
frame_005,112.28682999988087,./reaction2/dp_20241109_clean_2/energies.csv
frame_006,128.42287999996915,./reaction2/dp_20241109_clean_2/energies.csv
frame_000,0.0,./reaction2/lmp_bks/energies.csv
frame_001,-5.621199999994133,./reaction2/lmp_bks/energies.csv
frame_002,-4.704799999992247,./reaction2/lmp_bks/energies.csv
frame_003,-9.583799999993062,./reaction2/lmp_bks/energies.csv
frame_004,-9.081399999995483,./reaction2/lmp_bks/energies.csv
frame_005,12.595700000005309,./reaction2/lmp_bks/energies.csv
frame_006,67.04790000000503,./reaction2/lmp_bks/energies.csv
frame_000,0.0,./reaction2/lmp_2015/energies.csv
frame_001,-6.883609999997134,./reaction2/lmp_2015/energies.csv
frame_002,-24.646279999993567,./reaction2/lmp_2015/energies.csv
frame_003,-52.60076999999728,./reaction2/lmp_2015/energies.csv
frame_004,-136.19023999999627,./reaction2/lmp_2015/energies.csv
frame_005,-194.09764999999607,./reaction2/lmp_2015/energies.csv
frame_006,-209.1597799999945,./reaction2/lmp_2015/energies.csv
