Frame  Energy(kcal/mol)
frame_000  -106987.8819
frame_001  -107073.1862
frame_002  -107073.8305
frame_003  -107069.8448
frame_004  -107067.8386
frame_005  -107064.2698
frame_006  -107057.2148
