Frame  Energy(kcal/mol)
frame_000  -1823928.38977
frame_001  -1823882.55276
frame_002  -1823876.89363
frame_003  -1823877.43723
frame_004  -1823878.80497
frame_005  -1823879.08880
frame_006  -1823876.59182
