Frame,Energy(kcal/mol),Source
frame_6,-1829337.74952,./reaction1/dft_PBE/energies.csv
frame_5,-1829337.48573,./reaction1/dft_PBE/energies.csv
frame_4,-1829335.58661,./reaction1/dft_PBE/energies.csv
frame_3,-1829332.1884,./reaction1/dft_PBE/energies.csv
frame_2,-1829327.24749,./reaction1/dft_PBE/energies.csv
frame_1,-1829339.50814,./reaction1/dft_PBE/energies.csv
frame_0,-1829384.73548,./reaction1/dft_PBE/energies.csv
frame_006,-1823876.59182,./reaction1/dp_20241109_clean_2/energies.csv
frame_005,-1823879.0888,./reaction1/dp_20241109_clean_2/energies.csv
frame_004,-1823878.80497,./reaction1/dp_20241109_clean_2/energies.csv
frame_003,-1823877.43723,./reaction1/dp_20241109_clean_2/energies.csv
frame_002,-1823876.89363,./reaction1/dp_20241109_clean_2/energies.csv
frame_001,-1823882.55276,./reaction1/dp_20241109_clean_2/energies.csv
frame_000,-1823928.38977,./reaction1/dp_20241109_clean_2/energies.csv
frame_006,-107057.2148,./reaction1/lmp_bks/energies.csv
frame_005,-107064.2698,./reaction1/lmp_bks/energies.csv
frame_004,-107067.8386,./reaction1/lmp_bks/energies.csv
frame_003,-107069.8448,./reaction1/lmp_bks/energies.csv
frame_002,-107073.8305,./reaction1/lmp_bks/energies.csv
frame_001,-107073.1862,./reaction1/lmp_bks/energies.csv
frame_000,-106987.8819,./reaction1/lmp_bks/energies.csv
frame_006,-39912.8359,./reaction1/lmp_2015/energies.csv
frame_005,-39902.53528,./reaction1/lmp_2015/energies.csv
frame_004,-39898.11519,./reaction1/lmp_2015/energies.csv
frame_003,-39900.49762,./reaction1/lmp_2015/energies.csv
frame_002,-39919.82381,./reaction1/lmp_2015/energies.csv
frame_001,-39919.30161,./reaction1/lmp_2015/energies.csv
frame_000,-39855.34658,./reaction1/lmp_2015/energies.csv
