Frame,DeePMD,PBE,ReaxFF
1,0.0,0.0,0.0
2,30.9488499998115,32.848669999977574,-6.883609999997134
3,73.47120999987237,87.07199000008404,-24.646279999993567
4,97.45369999995457,117.56136000016704,-52.60076999999728
5,106.91119999997318,118.51323000015692,-136.1902399999963
6,112.28682999988088,116.37132000015116,-194.0976499999961
7,128.42287999996915,123.34794000000691,-209.1597799999945
