# r(Angstrom) g(r)
0.016614 0.000000
0.049841 0.000000
0.083068 0.000000
0.116295 0.000000
0.149522 0.000000
0.182749 0.000000
0.215976 0.000000
0.249204 0.000000
0.282431 0.000000
0.315658 0.000000
0.348885 0.000000
0.382112 0.000000
0.415339 0.000000
0.448567 0.000000
0.481794 0.000000
0.515021 0.000000
0.548248 0.000000
0.581475 0.000000
0.614702 0.000000
0.647929 0.000000
0.681157 0.000000
0.714384 0.000000
0.747611 0.000000
0.780838 0.000000
0.814065 0.000000
0.847292 0.000000
0.880519 0.000000
0.913747 0.000000
0.946974 0.000000
0.980201 0.000000
1.013428 0.000000
1.046655 0.000000
1.079882 0.000000
1.113109 0.000000
1.146337 0.000000
1.179564 0.000000
1.212791 0.000000
1.246018 0.000000
1.279245 0.000000
1.312472 0.000000
1.345700 0.000000
1.378927 0.000000
1.412154 0.000000
1.445381 0.000000
1.478608 0.000000
1.511835 0.000000
1.545062 0.000000
1.578290 0.000000
1.611517 0.000000
1.644744 0.000000
1.677971 0.000000
1.711198 0.000000
1.744425 0.000000
1.777652 0.000000
1.810880 0.000000
1.844107 0.000000
1.877334 0.000000
1.910561 0.000000
1.943788 0.000000
1.977015 0.000000
2.010242 0.000000
2.043470 0.000000
2.076697 0.000000
2.109924 0.000000
2.143151 0.000000
2.176378 0.000000
2.209605 0.000000
2.242833 0.000000
2.276060 0.000000
2.309287 0.000000
2.342514 0.000000
2.375741 0.000000
2.408968 0.000000
2.442195 0.000000
2.475423 0.000000
2.508650 0.000000
2.541877 0.000000
2.575104 0.000000
2.608331 0.005043
2.641558 0.010066
2.674785 0.029415
2.708013 0.033194
2.741240 0.102359
2.774467 0.216566
2.807694 0.366570
2.840921 0.535547
2.874148 0.973795
2.907375 1.353383
2.940603 1.931434
2.973830 2.627649
3.007057 3.047937
3.040284 3.702848
3.073511 4.240351
3.106738 4.252244
3.139966 3.990393
3.173193 3.534475
3.206420 2.891243
3.239647 2.102599
3.272874 1.459051
3.306101 0.913309
3.339328 0.573288
3.372556 0.261676
3.405783 0.148131
3.439010 0.082936
3.472237 0.020446
3.505464 0.002902
3.538691 0.002722
3.571918 0.002760
3.605146 0.005351
3.638373 0.005179
3.671600 0.000000
3.704827 0.007682
3.738054 0.014851
3.771281 0.019745
3.804508 0.043122
3.837736 0.054469
3.870963 0.071766
3.904190 0.105196
3.937417 0.134890
3.970644 0.203098
4.003871 0.260461
4.037099 0.390821
4.070326 0.518819
4.103553 0.650070
4.136780 0.753709
4.170007 0.871853
4.203234 1.099244
4.236461 1.170060
4.269689 1.305489
4.302916 1.496397
4.336143 1.535972
4.369370 1.721238
4.402597 1.753332
4.435824 1.820030
4.469051 1.903771
4.502279 1.952349
4.535506 1.819946
4.568733 1.801677
4.601960 1.867739
4.635187 1.956642
4.668414 1.823938
4.701641 1.852406
4.734869 1.902979
4.768096 1.946405
4.801323 1.973406
4.834550 1.948757
4.867777 1.970631
4.901004 2.067625
4.934232 1.961742
4.967459 2.041368
5.000686 1.877219
5.033913 1.781434
5.067140 1.728237
5.100367 1.614001
5.133594 1.392615
5.166822 1.300772
5.200049 1.208138
5.233276 1.042510
5.266503 1.046565
5.299730 0.981246
5.332957 0.955008
5.366184 0.963773
5.399412 0.956576
5.432639 0.987632
5.465866 0.960088
5.499093 1.020719
5.532320 1.045120
5.565547 0.994519
5.598774 0.991717
5.632002 0.966869
5.665229 1.008993
5.698456 0.929610
5.731683 0.912839
5.764910 0.840519
5.798137 0.766574
5.831365 0.632572
5.864592 0.533323
5.897819 0.409185
5.931046 0.313347
5.964273 0.276090
5.997500 0.212683
6.030727 0.139572
6.063955 0.118859
6.097182 0.090278
6.130409 0.081471
6.163636 0.065278
6.196863 0.067042
6.230090 0.075073
6.263317 0.102637
6.296545 0.118356
6.329772 0.148917
6.362999 0.190394
6.396226 0.206554
6.429453 0.274330
6.462680 0.305737
6.495907 0.377078
6.529135 0.451315
6.562362 0.523419
6.595589 0.565304
6.628816 0.626134
