Frame  Energy(kcal/mol)
frame_0  -1829384.73548
frame_1  -1829339.50814
frame_2  -1829327.24749
frame_3  -1829332.18840
frame_4  -1829335.58661
frame_5  -1829337.48573
frame_6  -1829337.74952
