# r(Angstrom) g(r)
0.016548 0.000000
0.049644 0.000000
0.082741 0.000000
0.115837 0.000000
0.148933 0.000000
0.182030 0.000000
0.215126 0.000000
0.248222 0.000000
0.281318 0.000000
0.314415 0.000000
0.347511 0.000000
0.380607 0.000000
0.413703 0.000000
0.446800 0.000000
0.479896 0.000000
0.512992 0.000000
0.546089 0.000000
0.579185 0.000000
0.612281 0.000000
0.645377 0.000000
0.678474 0.000000
0.711570 0.000000
0.744666 0.000000
0.777763 0.000000
0.810859 0.000000
0.843955 0.000000
0.877051 0.000000
0.910148 0.000000
0.943244 0.000000
0.976340 0.000000
1.009437 0.000000
1.042533 0.000000
1.075629 0.000000
1.108725 0.000000
1.141822 0.000000
1.174918 0.000000
1.208014 0.000000
1.241110 0.000000
1.274207 0.000000
1.307303 0.000000
1.340399 0.000000
1.373496 0.000000
1.406592 0.000000
1.439688 0.000000
1.472784 0.000000
1.505881 0.000000
1.538977 0.000000
1.572073 0.000000
1.605170 0.000000
1.638266 0.000000
1.671362 0.000000
1.704458 0.000000
1.737555 0.000000
1.770651 0.000000
1.803747 0.000000
1.836843 0.000000
1.869940 0.000000
1.903036 0.000000
1.936132 0.000000
1.969229 0.000000
2.002325 0.000000
2.035421 0.000000
2.068517 0.000000
2.101614 0.000000
2.134710 0.000367
2.167806 0.000986
2.200903 0.000608
2.233999 0.002020
2.267095 0.011220
2.300191 0.037452
2.333288 0.093770
2.366384 0.190362
2.399480 0.387632
2.432577 0.700456
2.465673 1.187755
2.498769 1.808031
2.531865 2.474532
2.564962 3.200756
2.598058 3.888074
2.631154 4.279169
2.664250 4.280806
2.697347 4.091218
2.730443 3.545766
2.763539 2.911316
2.796636 2.255927
2.829732 1.731787
2.862828 1.230564
2.895924 0.883859
2.929021 0.663529
2.962117 0.545239
2.995213 0.502326
3.028310 0.497030
3.061406 0.535764
3.094502 0.573621
3.127598 0.634428
3.160695 0.702029
3.193791 0.730015
3.226887 0.769879
3.259984 0.790154
3.293080 0.821593
3.326176 0.863428
3.359272 0.928893
3.392369 0.923353
3.425465 0.928979
3.458561 0.958382
3.491657 0.949435
3.524754 0.902305
3.557850 0.887790
3.590946 0.865721
3.624043 0.855391
3.657139 0.829539
3.690235 0.807408
3.723331 0.819347
3.756428 0.809186
3.789524 0.789161
3.822620 0.776802
3.855717 0.734085
3.888813 0.742782
3.921909 0.727146
3.955005 0.728577
3.988102 0.719353
4.021198 0.733455
4.054294 0.739904
4.087390 0.733313
4.120487 0.738774
4.153583 0.730016
4.186679 0.722362
4.219776 0.739071
4.252872 0.733261
4.285968 0.746853
4.319064 0.750578
4.352161 0.766823
4.385257 0.754177
4.418353 0.764229
4.451450 0.786295
4.484546 0.784187
4.517642 0.820887
4.550738 0.876351
4.583835 0.916498
4.616931 0.955456
4.650027 0.998239
4.683124 1.062848
4.716220 1.135298
4.749316 1.196541
4.782412 1.251463
4.815509 1.324747
4.848605 1.382759
4.881701 1.466755
4.914797 1.537918
4.947894 1.572064
4.980990 1.638960
5.014086 1.674600
5.047183 1.695342
5.080279 1.689609
5.113375 1.693658
5.146471 1.672538
5.179568 1.637300
5.212664 1.578765
5.245760 1.524141
5.278857 1.438141
5.311953 1.360579
5.345049 1.264946
5.378145 1.198878
5.411242 1.114253
5.444338 1.015307
5.477434 0.969065
5.510530 0.916433
5.543627 0.868172
5.576723 0.840403
5.609819 0.823722
5.642916 0.812974
5.676012 0.781874
5.709108 0.773721
5.742204 0.769646
5.775301 0.762723
5.808397 0.757585
5.841493 0.745937
5.874590 0.746886
5.907686 0.754898
5.940782 0.755186
5.973878 0.746881
6.006975 0.736174
6.040071 0.732584
6.073167 0.728833
6.106264 0.723807
6.139360 0.718828
6.172456 0.709918
6.205552 0.710750
6.238649 0.717079
6.271745 0.718242
6.304841 0.705730
6.337937 0.706282
6.371034 0.716756
6.404130 0.734776
6.437226 0.739880
6.470323 0.745820
6.503419 0.753122
6.536515 0.780495
6.569611 0.789479
6.602708 0.815038
